,updated,accession_number,cik,term,cikManager,managerName,reportCalendar,reportType,form13FFileNumber,representantName,representantTitle,entryTotal,valueTotal,otherIncludedManagersCount,isConfidentialOmitted,isAmendment,edgar.link
0,2024-07-26 17:02:34-04:00,0001085146-24-003289,0001903058,13F-HR,0001903058,MWA Asset Management,06-30-2024,13F HOLDINGS REPORT,028-23409,Michael Capobianco,CCO,121,140356742,0,false,false,
1,2024-05-08 10:12:05-04:00,0001085146-24-002305,0001903058,13F-HR,0001903058,MWA Asset Management,03-31-2024,13F HOLDINGS REPORT,028-23409,Michael Capobianco,CCO,123,137982641,0,false,false,
